evNo,fiyat,brutM2,netM2,oda,salon,yas,kat,katMaks,dogalGaz,banyo,amerikan,balkon,asansor,otopark,esya,siteMi,aidat,guneyMi
1187484704,10000,150,100,1,1,8,3,3,1,1,0,1,0,1,0,0,0,-1
1277720458,14000,185,165,3,1,4,1.5,8,1,2,0,1,1,0,0,0,350,1
1277661665,10000,120,100,3,1,18,4,4,1,1,0,1,0,1,0,0,250,1
1277655199,10000,120,100,2,1,23,5,5,1,2,0,1,0,0,0,0,100,1
1277631548,18000,160,145,3,1,8,2,11,1,2,0,1,1,1,0,0,500,1
1277330810,19000,205,175,4.5,1,3,10,10,1,2,0,1,1,1,0,1,-1,1
1230011352,12000,195,175,4,1,15,2,3,1,1,0,1,0,0.5,0,0,0,1
1271128891,15000,200,175,4,1,28,1,3,0,2,0,1,0,1,0,1,1000,-1
1277406759,17500,200,180,3,1,13,3,5,1,2,0,1,0,1,0,0,-1,-1
1277358363,16000,155,135,3,1,8,4,10,1,2,0,1,1,1,0,1,-1,1
1277741231,17000,65,55,1,1,5,1,2,1,1,1,0,0,0,-1,0,-1,1
1202747765,17000,75,55,1,1,8,7,9,1,1,0,0,1,1,1,0,-1,0
1121677848,18000,160,140,3,1,23,4,5,1,2,0,1,1,1,1,0,250,0
1277064648,18000,210,155,4,1,13,4,14,0,2,0,1,1,1,0,1,1000,1
1270772772,17500,210,150,4,1,8,1,7,1,2,0,1,1,1,0,0,-1,1
1277073504,10000,175,165,3,1,8,1,10,1,2,0,1,1,1,0,1,-1,-1
1270559430,10000,140,125,3,1,18,0.5,2,1,1,0,1,0,1,0,0,250,1
1276870802,13000,150,100,3,1,2,4,9,1,2,0,1,1,1,1,0,1000,1
1276853656,11500,110,100,2,1,18,4,4,1,1,0,1,0,1,0,0,0,1
1276788682,13500,170,150,3,1,8,1,5,1,1,0,1,1,1,0,0,-1,1
1273284217,11000,170,150,3,1,13,3,3,1,1,0,1,0,1,0,0,-1,-1
1267798872,20000,225,175,4,1,4,7,13,1,2,0,1,1,1,0,0,-1,1
1268136756,7500,147,110,2,1,13,2,2,0,1,0,1,0,1,0,0,0,1
1276685836,16000,132,110,2,1,0,2,4,1,2,0,1,1,1,0,0,-1,0
1277888267,9000,110,100,2,1,23,2,1,1,1,0,1,0,1,0,0,0,0
1277055442,10000,120,110,3,1,0,2,3,0,1,0,1,1,1,0,0,-1,-1
1270713943,19000,240,210,4,1,5,7,10,1,2,0,1,1,1,0,1,500,1
1276477926,10000,165,125,3,1,18,-1,2,1,2,0,1,0,1,0,0,-1,1
1276218742,18000,210,170,4.5,1,3,6,12,1,2,0,1,1,1,0,0,-1,1
1276377146,15000,70,56,1,1,5,3,3,1,1,0,1,1,0,0,0,500,1
1275703546,14500,135,120,3,1,18,1,8,1,1,0,1,1,1,0,0,350,1
1140469798,20000,125,110,2,1,4,6,9,1,1,0,1,1,1,1,0,-1,1
1272621085,7500,120,110,3,1,0,1,5,0,1,0,1,1,1,0,1,-1,1
1275936638,11000,60,50,1,1,0,1,5,1,1,0,1,1,1,0,0,250,1
1275908767,16000,210,190,4,1,8,11,13,1,2,0,1,1,2,0,1,-1,1
1268646027,18000,300,260,5.5,1,8,9,9,1,3,1,1,1,1,0,1,750,1
1256331708,17000,190,160,3,1,13,5,8,1,2,0,1,1,1,0,1,500,1
1261389318,15500,200,170,4,1,8,1,8,1,2,0,1,1,1,0,0,-1,1
1270056673,10000,150,125,3,1,13,4,5,1,2,0,1,1,1,0,0,500,1
1275337289,20000,230,190,4.5,1,0,4,10,0,2,0,1,1,1,0,1,1000,1
1275315725,19000,210,195,4,1,0,9,12,1,2,0,1,1,1,0,1,-1,1
1268706018,14750,150,130,2,1,13,3,4,1,2,0,1,0,0,1,0,0,1
1197086269,9000,130,120,3,1,0,4,4,0,1,0,1,1,1,0,1,850,1
1274685979,13000,166,130,3,1,0,5,9,1,2,0,1,1,1,0,0,-1,1
1268871735,10000,120,100,3,1,0,3,3,1,1,0,1,0,1,0,0,250,1
1263357701,15000,200,150,4,1,8,3,10,1,2,0,1,1,1,0,0,-1,1
1274611470,16000,200,162,4,1,13,1,5,1,1,0,1,0,1,1,0,100,1
923328971,12800,180,160,3,1,13,1,3,1,2,0,1,0,0,0,0,0,1
1274453004,13000,165,150,3,1,13,2,4,1,1,0,1,0,1,0,0,-1,1
1274439350,15000,220,200,3,1,13,3,3,1,1,0,1,0,2,0,0,0,1
1274440953,9500,145,140,3,1,18,2,2,1,1,0,1,0,1,0,0,0,1
1268589974,16000,140,110,3,1,3,9,10,1,1,0,1,1,1,1,0,200,1
1274424543,18000,54,48,1,1,0,5,5,1,1,1,1,1,1,1,1,500,1
1274793189,15000,170,120,3,1,23,1,2,1,1,0,1,0,0,1,0,0,0
1262623288,18500,210,180,4,1,8,10,11,0,2,0,1,1,1,0,1,-1,1
