Egitim,SM,SMMM,YMM,Yil
Temel Egitim,585,442,0,2024
Lise,2686,6846,0,2024
Onlisans,846,2328,0,2024
Lisans,1655,97658,3991,2024
Yuksek Lisans,27,14770,867,2024
Doktora,0,235,306,2024
Temel Egitim,636,417,0,2023
Lise,2891,6965,0,2023
Onlisans,917,2361,0,2023
Lisans,1792,95525,3914,2023
Yuksek Lisans,29,13416,856,2023
Doktora,0,222,310,2023
Temel Egitim,681,392,0,2022
Lise,3097,7073,0,2022
Onlisans,977,2390,0,2022
Lisans,1954,92430,3366,2022
Yuksek Lisans,34,12011,834,2022
Doktora,0,207,312,2022
Temel Egitim,745,354,0,2021
Lise,3273,7168,0,2021
Onlisans,1037,2408,0,2021
Lisans,2079,88488,3785,2021
Yuksek Lisans,37,10499,782,2021
Doktora,0,193,316,2021
Temel Egitim,798,360,0,2020
Lise,3506,7332,0,2020
Onlisans,1093,2436,0,2020
Lisans,2257,85658,3732,2020
Yuksek Lisans,41,9410,751,2020
Doktora,0,178,318,2020
Temel Egitim,0,0,0,2019
Lise,4550,7804,0,2019
On Lisans,1158,2451,0,2019
Lisans,2390,83276,3719,2019
Yuksek Lisans,44,8475,740,2019
Doktora,0,177,324,2019
Temel Egitim,955,391,0,2018
Lise,3951,8263,0,2018
On Lisans,1239,2854,0,2018
Lisans,2504,80184,3760,2018
Yuksek Lisans,44,6716,709,2018
Doktora,1,133,327,2018
Temel Egitim,955,392,0,2017
Lise,4098,8293,0,2017
On Lisans,1305,2855,0,2017
Lisans,2639,77244,3734,2017
Yuksek Lisans,45,5832,684,2017
Doktora,1,126,327,2017
Temel Egitim,1023,392,0,2016
Lise,4324,8291,0,2016
On Lisans,1374,2862,0,2016
Lisans,2783,73487,3722,2016
Yuksek Lisans,46,4888,667,2016
Doktora,1,124,334,2016
Temel Egitim,1096,395,0,2015
Lise,4592,8210,0,2015
On Lisans,1454,2853,0,2015
Lisans,2952,70132,3682,2015
Yuksek Lisans,49,4032,659,2015
Doktora,1,118,344,2015
Temel Egitim,1165,388,0,2014
Lise,4924,8057,0,2014
On Lisans,1566,2834,0,2014
Lisans,3168,65870,3577,2014
Yuksek Lisans,57,3323,645,2014
Doktora,0,105,356,2014
Temel Egitim,1248,383,0,2013
Lise,5234,7906,0,2013
On Lisans,1696,2819,0,2013
Lisans,3343,62485,3298,2013
Yuksek Lisans,65,2875,615,2013
Doktora,0,93,358,2013
Temel Egitim,1334,374,0,2012
Lise,5604,7714,0,2012
On Lisans,1829,2767,0,2012
Lisans,3594,59462,3142,2012
Yuksek Lisans,72,2586,590,2012
Doktora,0,81,365,2012
Temel Egitim,1376,343,0,2011
Lise,6009,7011,0,2011
On Lisans,1966,2546,0,2011
Lisans,3848,54905,2970,2011
Yuksek Lisans,79,2266,925,2011
Doktora,1,64,0,2011
Temel Egitim,1857,156,0,2010
Lise,9996,3770,0,2010
On Lisans,3400,1463,0,2010
Lisans,5812,49860,2976,2010
Yuksek Lisans,99,2156,882,2010
Doktora,0,0,0,2010
Temel Egitim,2091,0,0,2009
Lise,13883,0,0,2009
On Lisans,5010,0,0,2009
Lisans,7564,45719,2974,2009
Yuksek Lisans,117,2010,879,2009
Doktora,0,0,0,2009
