index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,,,,#country+code,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
1,MDG_0000000027,Children aged <5 years stunted (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,NLIS_311996,NLIS_311996,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311996,PUBLISHED,Published,,1998,1998,,EUR,1998,1998,Europe,,,,,TUR,Turkey,,BTSX,Both sexes,,19.1,19.10000,,,,,
2,WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_313227,NLIS_313227,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=313227,PUBLISHED,Published,,2013-2014,2013-2014,,EUR,2013,2014,Europe,,,,,TUR,Turkey,,MLE,Male,,11.7,11.70000,,,,,
3,MDG_0000000027,Children aged <5 years stunted (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,NLIS_313227,NLIS_313227,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=313227,PUBLISHED,Published,,2013-2014,2013-2014,,EUR,2013,2014,Europe,,,,,TUR,Turkey,,MLE,Male,,10.9,10.90000,,,,,
4,WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_312781,NLIS_312781,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312781,PUBLISHED,Published,,2003-2004,2003-2004,,EUR,2003,2004,Europe,,,,,TUR,Turkey,,MLE,Male,,10.6,10.60000,,,,,
5,WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_311996,NLIS_311996,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311996,PUBLISHED,Published,,1998,1998,,EUR,1998,1998,Europe,,,,,TUR,Turkey,,MLE,Male,,7.0,7.00000,,,,,
6,WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_311387,NLIS_311387,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311387,PUBLISHED,Published,,1993,1993,,EUR,1993,1993,Europe,,,,,TUR,Turkey,,FMLE,Female,,4.2,4.20000,,,,,
7,NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_311387,NLIS_311387,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311387,PUBLISHED,Published,,1993,1993,,EUR,1993,1993,Europe,,,,,TUR,Turkey,,MLE,Male,,4.0,4.00000,,,,,
8,NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_311996,NLIS_311996,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311996,PUBLISHED,Published,,1998,1998,,EUR,1998,1998,Europe,,,,,TUR,Turkey,,BTSX,Both sexes,,3.0,3.00000,,,,,
9,NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_311996,NLIS_311996,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311996,PUBLISHED,Published,,1998,1998,,EUR,1998,1998,Europe,,,,,TUR,Turkey,,FMLE,Female,,2.6,2.60000,,,,,
