index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,#country+code,#country+name,,,,,,#indicator+value+num,,,,,
1,FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4838,POVTUR2002,,,PUBLISHED,Published,,2002.0,2002,,EUR,2002,2002,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
2,FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4838,POVTUR2003,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
3,FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4838,POVTUR2004,,,PUBLISHED,Published,,2004.0,2004,,EUR,2004,2004,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
4,FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4838,POVTUR2005,,,PUBLISHED,Published,,2005.0,2005,,EUR,2005,2005,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
5,FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4838,POVTUR2006,,,PUBLISHED,Published,,2006.0,2006,,EUR,2006,2006,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
6,FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4838,POVTUR2007,,,PUBLISHED,Published,,2007.0,2007,,EUR,2007,2007,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
7,FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4838,POVTUR2008,,,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
8,FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4838,POVTUR2009,,,PUBLISHED,Published,,2009.0,2009,,EUR,2009,2009,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
9,FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4838,POVTUR2010,,,PUBLISHED,Published,,2010.0,2010,,EUR,2010,2010,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
10,FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4838,POVTUR2011,,,PUBLISHED,Published,,2011.0,2011,,EUR,2011,2011,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
11,FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4838,POVTUR2012,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
12,FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large health expenditures as a share of total expenditure or income,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844,FPTUR2002,source,,PUBLISHED,Published,,2002.0,2002,,EUR,2002,2002,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
13,FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large health expenditures as a share of total expenditure or income,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844,FPTUR2003,source,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
14,FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large health expenditures as a share of total expenditure or income,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844,FPTUR2004,source,,PUBLISHED,Published,,2004.0,2004,,EUR,2004,2004,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
15,FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large health expenditures as a share of total expenditure or income,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844,FPTUR2005,source,,PUBLISHED,Published,,2005.0,2005,,EUR,2005,2005,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
16,FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large health expenditures as a share of total expenditure or income,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844,FPTUR2006,source,,PUBLISHED,Published,,2006.0,2006,,EUR,2006,2006,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
17,FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large health expenditures as a share of total expenditure or income,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844,FPTUR2007,source,,PUBLISHED,Published,,2007.0,2007,,EUR,2007,2007,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
18,FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large health expenditures as a share of total expenditure or income,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844,FPTUR2008,source,,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
19,FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large health expenditures as a share of total expenditure or income,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844,FPTUR2009,source,,PUBLISHED,Published,,2009.0,2009,,EUR,2009,2009,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
20,FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large health expenditures as a share of total expenditure or income,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844,FPTUR2010,source,,PUBLISHED,Published,,2010.0,2010,,EUR,2010,2010,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
21,FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large health expenditures as a share of total expenditure or income,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844,FPTUR2011,source,,PUBLISHED,Published,,2011.0,2011,,EUR,2011,2011,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
22,FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large health expenditures as a share of total expenditure or income,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844,FPTUR2012,source,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,TUR,Turkey,,,,,Yes,1.00000,,,,,
23,FINPROTECTION_CATA_CTPFHU_40_HH,"Households with out-of-pocket payments greater than 40% of capacity to pay for health care (food, housing and utilities approach - developed by WHO/Europe) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4989,FPTUR2002,source,,PUBLISHED,Published,,2002.0,2002,,EUR,2002,2002,Europe,,TUR,Turkey,,,,,7.07,7.07262,,,,,
