index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,#indicator+value+num,,,,,
1,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,WB_UMI,1995,1995,Upper-middle-income,,TUR,Turkey,,67.66,67.65744,,,,,
2,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,1996.0,1996,,EUR,Europe,,WB_UMI,1996,1996,Upper-middle-income,,TUR,Turkey,,81.29,81.29211,,,,,
3,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,1997.0,1997,,EUR,Europe,,WB_UMI,1997,1997,Upper-middle-income,,TUR,Turkey,,93.66,93.66363,,,,,
4,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,1998.0,1998,,EUR,Europe,,WB_UMI,1998,1998,Upper-middle-income,,TUR,Turkey,,112.13,112.12772,,,,,
5,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,1999.0,1999,,EUR,Europe,,WB_UMI,1999,1999,Upper-middle-income,,TUR,Turkey,,115.65,115.64746,,,,,
6,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,2000.0,2000,,EUR,Europe,,WB_UMI,2000,2000,Upper-middle-income,,TUR,Turkey,,130.1,130.09831,,,,,
7,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,WB_UMI,2001,2001,Upper-middle-income,,TUR,Turkey,,106.42,106.42420,,,,,
8,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,WB_UMI,2002,2002,Upper-middle-income,,TUR,Turkey,,134.27,134.27120,,,,,
9,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,2003.0,2003,,EUR,Europe,,WB_UMI,2003,2003,Upper-middle-income,,TUR,Turkey,,175.11,175.11051,,,,,
10,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,WB_UMI,2004,2004,Upper-middle-income,,TUR,Turkey,,222.95,222.95074,,,,,
11,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,2005.0,2005,,EUR,Europe,,WB_UMI,2005,2005,Upper-middle-income,,TUR,Turkey,,261.99,261.98812,,,,,
12,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,2006.0,2006,,EUR,Europe,,WB_UMI,2006,2006,Upper-middle-income,,TUR,Turkey,,305.64,305.63699,,,,,
13,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,2007.0,2007,,EUR,Europe,,WB_UMI,2007,2007,Upper-middle-income,,TUR,Turkey,,379.65,379.65486,,,,,
14,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,WB_UMI,2008,2008,Upper-middle-income,,TUR,Turkey,,458.45,458.45484,,,,,
15,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,2009.0,2009,,EUR,Europe,,WB_UMI,2009,2009,Upper-middle-income,,TUR,Turkey,,422.68,422.68180,,,,,
16,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,WB_UMI,2010,2010,Upper-middle-income,,TUR,Turkey,,444.8,444.80346,,,,,
17,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,2011.0,2011,,EUR,Europe,,WB_UMI,2011,2011,Upper-middle-income,,TUR,Turkey,,443.49,443.48938,,,,,
18,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,WB_UMI,2012,2012,Upper-middle-income,,TUR,Turkey,,439.81,439.81341,,,,,
19,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,WB_UMI,2013,2013,Upper-middle-income,,TUR,Turkey,,461.61,461.61430,,,,,
20,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,WB_UMI,2014,2014,Upper-middle-income,,TUR,Turkey,,439.62,439.61907,,,,,
21,WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,WB_UMI,1995,1995,Upper-middle-income,,TUR,Turkey,,180.17,180.16972,,,,,
22,WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,PUBLISHED,Published,,1996.0,1996,,EUR,Europe,,WB_UMI,1996,1996,Upper-middle-income,,TUR,Turkey,,224.53,224.53293,,,,,
23,WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,PUBLISHED,Published,,1997.0,1997,,EUR,Europe,,WB_UMI,1997,1997,Upper-middle-income,,TUR,Turkey,,261.61,261.61426,,,,,
24,WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,PUBLISHED,Published,,1998.0,1998,,EUR,Europe,,WB_UMI,1998,1998,Upper-middle-income,,TUR,Turkey,,309.81,309.81007,,,,,
25,WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,PUBLISHED,Published,,1999.0,1999,,EUR,Europe,,WB_UMI,1999,1999,Upper-middle-income,,TUR,Turkey,,392.17,392.17235,,,,,
26,WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,PUBLISHED,Published,,2000.0,2000,,EUR,Europe,,WB_UMI,2000,2000,Upper-middle-income,,TUR,Turkey,,457.31,457.30820,,,,,
27,WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,WB_UMI,2001,2001,Upper-middle-income,,TUR,Turkey,,447.81,447.80548,,,,,
28,WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,WB_UMI,2002,2002,Upper-middle-income,,TUR,Turkey,,467.37,467.36603,,,,,
29,WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,PUBLISHED,Published,,2003.0,2003,,EUR,Europe,,WB_UMI,2003,2003,Upper-middle-income,,TUR,Turkey,,473.2,473.20095,,,,,
30,WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,WB_UMI,2004,2004,Upper-middle-income,,TUR,Turkey,,549.48,549.48219,,,,,
31,WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,PUBLISHED,Published,,2005.0,2005,,EUR,Europe,,WB_UMI,2005,2005,Upper-middle-income,,TUR,Turkey,,624.68,624.67816,,,,,
32,WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,PUBLISHED,Published,,2006.0,2006,,EUR,Europe,,WB_UMI,2006,2006,Upper-middle-income,,TUR,Turkey,,754.38,754.38436,,,,,
