index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,,,,#country+code,#country+name,,,#indicator+value+num,,,,,
1,MEDS2012100S,Market share of generic pharmaceuticals by value (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2272,,,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,35,35.00000,,,,,
2,MEDS3010400,Presence of National Medicines Policy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1414,,,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,Yes,0.00000,,,,,
3,MEDS3010700,Presence of National Medicines Policy implementation plan,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2273,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,Yes,0.00000,,,,,
4,MEDS5010200,Existence of formal Medicines Regulatory Authority,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1415,,,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,Yes,0.00000,,,,,
5,MEDS6060300,Value Added Tax is levied on finished pharmaceuticals products,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2300,,,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,Yes,0.00000,,,,,
6,MEDS8010200,Standard Treatment Guidelines for common illnesses are made by Ministry of Health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2286,,,,PUBLISHED,Published,,2003,2003,,EUR,2003,2003,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,Yes,0.00000,,,,,
7,MEDS8011200,Existence of National strategy to contain antimicrobial resistance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2277,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,Yes,0.00000,,,,,
8,MEDS8021201,Public sector,,,,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,No,0.00000,,,,,
9,ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2003,2003,,EUR,2003,2003,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,2.61,2.61000,,,,,
10,ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,3.36,3.36000,,,,,
