index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
1,HWF_0001,Medical doctors (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5314,PUBLISHED,Published,,1990.0,1990,,EUR,Europe,,TUR,1990,1990,Turkey,,,,,9.391,9.39100,,,,,
2,HWF_0001,Medical doctors (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5314,PUBLISHED,Published,,1991.0,1991,,EUR,Europe,,TUR,1991,1991,Turkey,,,,,9.935,9.93500,,,,,
3,HWF_0001,Medical doctors (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5314,PUBLISHED,Published,,1992.0,1992,,EUR,Europe,,TUR,1992,1992,Turkey,,,,,10.222,10.22200,,,,,
4,HWF_0001,Medical doctors (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5314,PUBLISHED,Published,,1993.0,1993,,EUR,Europe,,TUR,1993,1993,Turkey,,,,,10.776,10.77600,,,,,
5,HWF_0001,Medical doctors (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5314,PUBLISHED,Published,,1994.0,1994,,EUR,Europe,,TUR,1994,1994,Turkey,,,,,11.436,11.43600,,,,,
6,HWF_0001,Medical doctors (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5314,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,TUR,1995,1995,Turkey,,,,,11.597,11.59700,,,,,
7,HWF_0001,Medical doctors (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5314,PUBLISHED,Published,,1996.0,1996,,EUR,Europe,,TUR,1996,1996,Turkey,,,,,11.631,11.63100,,,,,
8,HWF_0001,Medical doctors (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5314,PUBLISHED,Published,,1997.0,1997,,EUR,Europe,,TUR,1997,1997,Turkey,,,,,11.851,11.85100,,,,,
9,HWF_0001,Medical doctors (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5314,PUBLISHED,Published,,1998.0,1998,,EUR,Europe,,TUR,1998,1998,Turkey,,,,,12.243,12.24300,,,,,
10,HWF_0001,Medical doctors (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5314,PUBLISHED,Published,,1999.0,1999,,EUR,Europe,,TUR,1999,1999,Turkey,,,,,12.789,12.78900,,,,,
11,HWF_0001,Medical doctors (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5314,PUBLISHED,Published,,2000.0,2000,,EUR,Europe,,TUR,2000,2000,Turkey,,,,,13.479,13.47900,,,,,
12,HWF_0001,Medical doctors (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5314,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,TUR,2001,2001,Turkey,,,,,13.99,13.99000,,,,,
13,HWF_0001,Medical doctors (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5314,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,TUR,2002,2002,Turkey,,,,,14.114,14.11400,,,,,
