index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,#indicator+value+num,,,,,
1,WHS3_51,H5N1 influenza - number of reported cases,,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,,2012,2012,,,TUR,Turkey,,0.00,0.00000,,,,,
2,WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/60,PUBLISHED,Published,,1976.0,1976,,EUR,Europe,,WB_UMI,1976,1976,Upper-middle-income,,TUR,Turkey,,21740,21740.00000,,,,,
3,WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/60,PUBLISHED,Published,,1978.0,1978,,EUR,Europe,,WB_UMI,1978,1978,Upper-middle-income,,TUR,Turkey,,12517,12517.00000,,,,,
4,WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/60,PUBLISHED,Published,,1985.0,1985,,EUR,Europe,,WB_UMI,1985,1985,Upper-middle-income,,TUR,Turkey,,14695,14695.00000,,,,,
5,WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/60,PUBLISHED,Published,,1987.0,1987,,EUR,Europe,,WB_UMI,1987,1987,Upper-middle-income,,TUR,Turkey,,2194,2194.00000,,,,,
6,WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/60,PUBLISHED,Published,,1992.0,1992,,EUR,Europe,,WB_UMI,1992,1992,Upper-middle-income,,TUR,Turkey,,24626,24626.00000,,,,,
7,WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/60,PUBLISHED,Published,,1994.0,1994,,EUR,Europe,,WB_UMI,1994,1994,Upper-middle-income,,TUR,Turkey,,23733,23733.00000,,,,,
8,WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/60,PUBLISHED,Published,,1996.0,1996,,EUR,Europe,,WB_UMI,1996,1996,Upper-middle-income,,TUR,Turkey,,27171,27171.00000,,,,,
9,WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/60,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,WB_UMI,2001,2001,Upper-middle-income,,TUR,Turkey,,30509,30509.00000,,,,,
10,WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/60,PUBLISHED,Published,,2003.0,2003,,EUR,Europe,,WB_UMI,2003,2003,Upper-middle-income,,TUR,Turkey,,5844,5844.00000,,,,,
11,WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/60,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,WB_UMI,2010,2010,Upper-middle-income,,TUR,Turkey,,7,7.00000,,,,,
12,WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/60,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,WB_UMI,2012,2012,Upper-middle-income,,TUR,Turkey,,349,349.00000,,,,,
13,WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/60,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,WB_UMI,2017,2017,Upper-middle-income,,TUR,Turkey,,84,84.00000,,,,,
14,WHS3_55,Congenital Rubella Syndrome - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/57,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,,2017,2017,,,TUR,Turkey,,0,,,,,,
15,WHS3_55,Congenital Rubella Syndrome - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/57,PUBLISHED,Published,,2015.0,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,0,,,,,,
16,WHS3_55,Congenital Rubella Syndrome - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/57,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,0,,,,,,
17,WHS3_55,Congenital Rubella Syndrome - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/57,PUBLISHED,Published,,2007.0,2007,,EUR,Europe,,,2007,2007,,,TUR,Turkey,,0,,,,,,
18,WHS3_41,Diphtheria - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/43,PUBLISHED,Published,,2015.0,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,0,0.00000,,,,,
19,WHS3_41,Diphtheria - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/43,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,,2013,2013,,,TUR,Turkey,,0,0.00000,,,,,
20,WHS3_41,Diphtheria - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/43,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,0,0.00000,,,,,
21,WHS3_41,Diphtheria - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/43,PUBLISHED,Published,,2006.0,2006,,EUR,Europe,,,2006,2006,,,TUR,Turkey,,0,0.00000,,,,,
