index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),DRIVERTYPE (CODE),DRIVERTYPE (DISPLAY),DRIVERTYPE (URL),MOTOCYCLEOCCUPANTTYPE (CODE),MOTOCYCLEOCCUPANTTYPE (DISPLAY),MOTOCYCLEOCCUPANTTYPE (URL),ROADUSERTYPE (CODE),ROADUSERTYPE (DISPLAY),ROADUSERTYPE (URL),SEATTYPE (CODE),SEATTYPE (DISPLAY),SEATTYPE (URL),VEHICLESTANDARD (CODE),VEHICLESTANDARD (DISPLAY),VEHICLESTANDARD (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,,,,,,,,,,,,,#indicator+value+num,,,,,
1,RS_237,Existence of a formal pre-hospital care system,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/237,,,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,0.0,0.0,,,
2,RS_576,Gross national income per capita (Atlas method),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3355,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,9 890,9890.00000,,,,,
3,RS_193,Income level,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/193,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,Middle,,,,,,
4,RS_1845,Population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3359,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,72 752 324,72752324.00000,,,,,
5,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,Child maltreatment: Extent of implementation of home-visiting programmes,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,EUR,2012,2014,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,Limited,,,,,,
6,VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS,Youth violence: Extent of implementation of life-skills and social development programmes,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,EUR,2012,2014,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,Larger scale,,,,,,
7,VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION,Intimate partner violence: Extent of implementation  of dating violence prevention programmes,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,EUR,2012,2014,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
8,VIOLENCE_EXTENTIMP_ELDERCAREGIVER,Elder abuse: Extent of implementation  of caregiver-support programmes,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,EUR,2012,2014,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,Larger scale,,,,,,
9,VIOLENCE_EXTENTIMP_ALLTYPES,Extent of implementation of  mental health services for victims of all types of violence,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,EUR,2012,2014,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,Larger scale,,,,,,
