index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,,,,#indicator+value+num,,,,,
1,MALARIA_15029,All-cause outpatient cases,,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,,2001,2001,,,TUR,Turkey,,AGE0-4,0-4 years,,*Filler*,,,,,,
2,MALARIA_15029,All-cause outpatient cases,,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,,2001,2001,,,TUR,Turkey,,,,,99999999,99999999.00000,,,,,
3,MALARIA_15029,All-cause outpatient cases,,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,,2002,2002,,,TUR,Turkey,,,,,99999999,99999999.00000,,,,,
4,MALARIA_15029,All-cause outpatient cases,,PUBLISHED,Published,,2007.0,2007,,EUR,Europe,,,2007,2007,,,TUR,Turkey,,AGE0-4,0-4 years,,*Filler*,,,,,,
5,MALARIA_15030,All-cause inpatient cases,,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,,2001,2001,,,TUR,Turkey,,,,,5290024,5290024.00000,,,,,
6,MALARIA_15030,All-cause inpatient cases,,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,,2002,2002,,,TUR,Turkey,,,,,5508263,5508263.00000,,,,,
7,MALARIA_15049,Malaria outpatient cases,,PUBLISHED,Published,,1993.0,1993,,EUR,Europe,,,1993,1993,,,TUR,Turkey,,,,,47210,47210.00000,,,,,
8,MALARIA_15049,Malaria outpatient cases,,PUBLISHED,Published,,1996.0,1996,,EUR,Europe,,,1996,1996,,,TUR,Turkey,,,,,60884,60884.00000,,,,,
9,MALARIA_15049,Malaria outpatient cases,,PUBLISHED,Published,,1999.0,1999,,EUR,Europe,,,1999,1999,,,TUR,Turkey,,,,,20963,20963.00000,,,,,
