index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
1,DEVICES08,Total density per million population: Magnetic Resonance Imaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3005,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,6.32,6.32000,,,,,
2,DEVICES09,Total density per million population: Computed tomography units,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3006,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,14.95,14.95000,,,,,
3,DEVICES10,Total density per million population: Positron Emission tomography,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3007,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,0.92,0.92000,,,,,
4,DEVICES11,Total density per million population: Gamma camera or Nuclear medicine,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3008,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,3.93,3.93000,,,,,
5,DEVICES12,Total density per million population: Linear Accelerator,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3003,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,1.47,1.47000,,,,,
6,DEVICES21,Total density per million population: Telecobalt Unit,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3004,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,0.62,0.62000,,,,,
7,DEVICES22,Total density per million population: Radiotherapy units,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2441,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,2.09,2.09000,,,,,
8,DEVICES23,Total density per million females aged from 50 to 69 years old: Mammography units,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3009,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,272.01,272.01000,,,,,
9,DEVICES09,Total density per million population: Computed tomography units,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3006,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,14.52,14.51971,,,,,
10,DEVICES08,Total density per million population: Magnetic Resonance Imaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3005,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,6.14,6.13885,,,,,
11,DEVICES11,Total density per million population: Gamma camera or Nuclear medicine,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3008,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,3.82,3.81676,,,,,
12,DEVICES22,Total density per million population: Radiotherapy units,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2441,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,2.03,2.02849,,,,,
13,DEVICES12,Total density per million population: Linear Accelerator,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3003,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,1.43,1.42795,,,,,
14,DEVICES10,Total density per million population: Positron Emission tomography,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3007,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,0.89,0.89414,,,,,
15,DEVICES21,Total density per million population: Telecobalt Unit,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3004,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,0.6,0.60054,,,,,
16,DEVICES23,Total density per million females aged from 50 to 69 years old: Mammography units,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3009,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,230.36,230.35576,,,,,
