index,GHO (CODE),GHO (DISPLAY),GHO (URL),GBDCHILDCAUSES (CODE),GBDCHILDCAUSES (DISPLAY),GBDCHILDCAUSES (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
1,WHS2_126,Distribution of years of life lost by major cause group,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/90,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,,,,GHE001,Communicable & other Group I,,,,,27,27.00000,,,,,
2,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE015,Measles,,,,,0.4,0.38390,,,,,
3,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE016,Tetanus,,,,,1.2,1.15494,,,,,
4,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE017,Meningitis,,,,,10.5,10.51221,,,,,
5,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE018,Encephalitis,,,,,2.2,2.21956,,,,,
6,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE019,Acute hepatitis B,,,,,0.2,0.23537,,,,,
7,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE032,Rabies,,,,,0.5,0.53840,,,,,
8,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE033,Intestinal nematode infections,,,,,0.0,0.03680,,,,,
9,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE037,Other infectious diseases,,,,,3.5,3.54028,,,,,
10,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE038,Respiratory infections,,,,,24.7,24.69124,,,,,
11,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE063,Oesophagus cancer,,,,,5.0,5.02433,,,,,
12,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE064,Stomach cancer,,,,,15.4,15.44436,,,,,
13,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE065,Colon and rectum cancers,,,,,9.9,9.86296,,,,,
14,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE066,Liver cancer,,,,,2.9,2.90568,,,,,
15,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE080,Diabetes mellitus,,,,,18.0,18.01254,,,,,
16,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE081,"Endocrine, blood, immune disorders",,,,,3.7,3.68810,,,,,
17,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE082,Mental and behavioral disorders,,,,,1.0,1.03143,,,,,
18,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE094,Neurological conditions,,,,,10.1,10.07537,,,,,
19,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE117,Respiratory diseases,,,,,61.5,61.52734,,,,,
20,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE118,Chronic obstructive pulmonary disease,,,,,32.3,32.31196,,,,,
