index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
1,NTD_BEJELSTATUS,Status of bejel endemicity,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4458,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,No previous history of bejel,,,,,,
2,NTD_PINTASTATUS,Status of pinta endemicity,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4460,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,No previous history of pinta,,,,,,
3,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,TUR,2008,2008,Turkey,,1161,1161.00000,,,,,
4,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2007.0,2007,,EUR,Europe,,TUR,2007,2007,Turkey,,1499,1499.00000,,,,,
5,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2009.0,2009,,EUR,Europe,,TUR,2009,2009,Turkey,,1696,1696.00000,,,,,
6,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2006.0,2006,,EUR,Europe,,TUR,2006,2006,Turkey,,1892,1892.00000,,,,,
7,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2005.0,2005,,EUR,Europe,,TUR,2005,2005,Turkey,,1926,1926.00000,,,,,
8,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,2237,2237.00000,,,,,
9,NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2005.0,2005,,EUR,Europe,,TUR,2005,2005,Turkey,,32,32.00000,,,,,
10,NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2006.0,2006,,EUR,Europe,,TUR,2006,2006,Turkey,,20,20.00000,,,,,
11,NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2007.0,2007,,EUR,Europe,,TUR,2007,2007,Turkey,,41,41.00000,,,,,
12,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2011.0,2011,,EUR,Europe,,TUR,2011,2011,Turkey,,1803,1803.00000,,,,,
13,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,TUR,2012,2012,Turkey,,1898,1898.00000,,,,,
14,NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,TUR,2008,2008,Turkey,,13,13.00000,,,,,
15,NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,TUR,2012,2012,Turkey,,13,13.00000,,,,,
16,NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2009.0,2009,,EUR,Europe,,TUR,2009,2009,Turkey,,23,23.00000,,,,,
17,NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2011.0,2011,,EUR,Europe,,TUR,2011,2011,Turkey,,30,30.00000,,,,,
18,NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,33,33.00000,,,,,
19,NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,36,36.00000,,,,,
20,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,1678,1678.00000,,,,,
21,NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,22,22.00000,,,,,
22,NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2016.0,2016,,EUR,Europe,,TUR,2016,2016,Turkey,,23,23.00000,,,,,
23,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,2268,2268.00000,,,,,
24,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2015.0,2015,,EUR,Europe,,TUR,2015,2015,Turkey,,1986,1986.00000,,,,,
25,NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2015.0,2015,,EUR,Europe,,TUR,2015,2015,Turkey,,23,23.00000,,,,,
26,NTD_LEISHVNUM_IM,Number of imported cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4484,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,No data,,,,,,
27,NTD_LEISHVNUM_IM,Number of imported cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4484,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,No data,,,,,,
28,NTD_LEISHVNUM_IM,Number of imported cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4484,PUBLISHED,Published,,2015.0,2015,,EUR,Europe,,TUR,2015,2015,Turkey,,No data,,,,,,
29,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2016.0,2016,,EUR,Europe,,TUR,2016,2016,Turkey,,1474,1474.00000,,,,,
30,NTD_LEISHCNUM_IM,Number of imported cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4485,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,3094,3094.00000,,,,,
31,NTD_LEISHCNUM_IM,Number of imported cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4485,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,2672,2672.00000,,,,,
32,NTD_LEISHCNUM_IM,Number of imported cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4485,PUBLISHED,Published,,2015.0,2015,,EUR,Europe,,TUR,2015,2015,Turkey,,815,815.00000,,,,,
33,NTD_LEISHCNUM_IM,Number of imported cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4485,PUBLISHED,Published,,2016.0,2016,,EUR,Europe,,TUR,2016,2016,Turkey,,1089,1089.00000,,,,,
34,NTD_LEISHVNUM_IM,Number of imported cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4484,PUBLISHED,Published,,2016.0,2016,,EUR,Europe,,TUR,2016,2016,Turkey,,14,14.00000,,,,,
35,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,No data,,,,,,
36,NTD_LEISHCNUM_IM,Number of imported cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4485,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,No data,,,,,,
37,NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,No data,,,,,,
38,NTD_LEISHVNUM_IM,Number of imported cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4484,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,No data,,,,,,
39,NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2018.0,2018,,EUR,Europe,,TUR,2018,2018,Turkey,,No data,,,,,,
40,NTD_LEISHCEND,Status of endemicity of cutaneous leishmaniasis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3761,PUBLISHED,Published,,2018.0,2018,,EUR,Europe,,TUR,2018,2018,Turkey,,Endemic,,,,,,
41,NTD_LEISHCNUM_IM,Number of imported cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4485,PUBLISHED,Published,,2018.0,2018,,EUR,Europe,,TUR,2018,2018,Turkey,,No data,,,,,,
42,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2018.0,2018,,EUR,Europe,,TUR,2018,2018,Turkey,,No data,,,,,,
43,NTD_LEISHVEND,Status of endemicity of visceral leishmaniasis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3762,PUBLISHED,Published,,2018.0,2018,,EUR,Europe,,TUR,2018,2018,Turkey,,Endemic,,,,,,
44,NTD_LEISHVNUM_IM,Number of imported cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4484,PUBLISHED,Published,,2018.0,2018,,EUR,Europe,,TUR,2018,2018,Turkey,,No data,,,,,,
