index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,#sex+code,#sex+name,,,,,,#indicator+value+num,,,,,
1,CHOL_02,Raised total cholesterol (>= 5.0 mmol/L) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2382,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,TUR,2008,2008,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,41.0 [27.8-54.3],,,,,,
2,CHOL_02,Raised total cholesterol (>= 5.0 mmol/L) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2382,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,TUR,2008,2008,Turkey,,AGE25-PLUS,25+ years,,BTSX,Both sexes,,,,,39.7 [31.3-48.3],,,,,,
3,CHOL_06,Raised total cholesterol (&#8805; 6.2 mmol/L) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2383,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,TUR,2008,2008,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,7.5 [4.6-11.3],,,,,,
4,CHOL_06,Raised total cholesterol (&#8805; 6.2 mmol/L) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2383,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,TUR,2008,2008,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,9.4 [5.2-15.2],,,,,,
5,CHOL_06,Raised total cholesterol (&#8805; 6.2 mmol/L) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2383,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,TUR,2008,2008,Turkey,,AGE25-PLUS,25+ years,,BTSX,Both sexes,,,,,8.4 [5.8-11.8],,,,,,
6,CHOL_05,Raised total cholesterol (&#8805; 6.2 mmol/L) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2383,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,TUR,2008,2008,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,7.8 [4.8-11.9],,,,,,
7,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1983.0,1983,,EUR,Europe,,TUR,1983,1983,Turkey,,AGE20-PLUS,20+ years,,MLE,Male,,,,,23.6 [22.2-25.0],23.60000,22.2,25.0,,,
8,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1985.0,1985,,EUR,Europe,,TUR,1985,1985,Turkey,,AGE20-PLUS,20+ years,,MLE,Male,,,,,23.7 [22.4-24.9],23.70000,22.4,24.9,,,
9,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1990.0,1990,,EUR,Europe,,TUR,1990,1990,Turkey,,AGE20-PLUS,20+ years,,MLE,Male,,,,,24.3 [23.3-25.2],24.30000,23.3,25.2,,,
