index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),PLACE (CODE),PLACE (DISPLAY),PLACE (URL),INADEQUACY (CODE),INADEQUACY (DISPLAY),INADEQUACY (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,,,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,,,,,,,,,,,,,#indicator+value+num,,,,,
1,WSH_7,"Water, sanitation and hygiene attributable DALYs per 100'000 capita",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2004.0,2004,,EUR,2004,2004,Europe,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,320,320.11000,,,,,
2,WSH_8,"Water, sanitation and hygiene  attributable DALYs per 100'000 children under 5 years",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2004.0,2004,,EUR,2004,2004,Europe,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,3000,2999.80000,,,,,
3,AIR_2,Ambient air pollution (Annual PM10 [ug/m3]),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1349,,,,PUBLISHED,Published,,2004.0,2004,,EUR,2004,2004,Europe,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,56,56.00000,,,,,
4,UV_4,UV radiation attributable deaths per 100'000 capita,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2394,,,,PUBLISHED,Published,,2002.0,2002,,EUR,2002,2002,Europe,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.57000,,,,,
5,UV_5,UV radiation attributable DALYs per 100'000 capita,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2394,,,,PUBLISHED,Published,,2002.0,2002,,EUR,2002,2002,Europe,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,18,18.28000,,,,,
6,EQ_WATER,Population using improved drinking-water sources (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/8,,,,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,,,,TUR,Turkey,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,,,,,,,86.6,,,,,,
7,EQ_WATER,Population using improved drinking-water sources (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/8,,,,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,,,,TUR,Turkey,,,,,,,,,,,WQ3,Q3,,,,,,,,,,,,,,86.2,,,,,,
8,EQ_WATER,Population using improved drinking-water sources (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/8,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,,,,TUR,Turkey,,,,,,,,,,,WQ3,Q3,,,,,,,,,,,,,,70.2,,,,,,
9,EQ_WATER,Population using improved drinking-water sources (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/8,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,,,,TUR,Turkey,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,,,,,,,38.3,,,,,,
