index,GHO (CODE),ENDYEAR,COUNTRY (CODE),SEX (DISPLAY),Numeric
0,#indicator+code,#date+year+end,#country+code,#sex+name,#indicator+value+num
1,MDG_0000000001,1968,TUR,Both sexes,133.93270
2,MDG_0000000001,2002,TUR,Both sexes,27.49635
3,MDG_0000000001,2016,TUR,Both sexes,10.45284
4,MDG_0000000001,2017,TUR,Both sexes,9.79668
5,MDG_0000000001,2018,TUR,Both sexes,9.18409
6,MDG_0000000001,2019,TUR,Both sexes,8.61533
7,MDG_0000000001,1966,TUR,Female,134.54000
8,MDG_0000000001,1967,TUR,Female,130.73772
9,MDG_0000000001,1968,TUR,Female,127.19918
10,MDG_0000000001,1969,TUR,Female,123.72266
11,MDG_0000000001,1982,TUR,Female,77.17510
12,MDG_0000000001,1983,TUR,Female,73.62449
13,MDG_0000000001,1984,TUR,Female,70.19544
14,MDG_0000000001,1985,TUR,Female,66.90387
15,MDG_0000000001,1986,TUR,Female,63.68079
16,MDG_0000000001,1999,TUR,Female,31.67231
17,MDG_0000000001,2000,TUR,Female,29.68552
18,MDG_0000000001,2001,TUR,Female,27.78344
19,MDG_0000000001,2002,TUR,Female,25.97509
20,MDG_0000000001,2016,TUR,Female,9.80841
21,MDG_0000000001,2017,TUR,Female,9.17046
22,MDG_0000000001,2018,TUR,Female,8.59095
23,MDG_0000000001,2019,TUR,Female,8.02788
24,MDG_0000000001,1966,TUR,Male,148.70721
25,MDG_0000000001,1967,TUR,Male,144.38663
26,MDG_0000000001,1968,TUR,Male,140.28713
27,MDG_0000000001,1969,TUR,Male,136.38861
28,MDG_0000000001,1982,TUR,Male,86.49726
29,MDG_0000000001,1983,TUR,Male,82.48633
30,MDG_0000000001,1984,TUR,Male,78.55369
31,MDG_0000000001,1985,TUR,Male,74.68827
32,MDG_0000000001,1999,TUR,Male,35.31427
33,MDG_0000000001,2000,TUR,Male,33.10989
34,MDG_0000000001,1969,TUR,Both sexes,130.25627
35,MDG_0000000001,1983,TUR,Both sexes,78.18823
36,MDG_0000000001,1984,TUR,Both sexes,74.50941
37,MDG_0000000001,1985,TUR,Both sexes,70.91928
38,MDG_0000000001,1986,TUR,Both sexes,67.50320
39,MDG_0000000001,1999,TUR,Both sexes,33.54174
40,MDG_0000000001,2000,TUR,Both sexes,31.43264
41,MDG_0000000001,2001,TUR,Both sexes,29.42519
42,MDG_0000000001,1966,TUR,Both sexes,141.79245
43,MDG_0000000001,1967,TUR,Both sexes,137.73926
44,MDG_0000000001,2001,TUR,Male,30.99795
45,MDG_0000000001,2002,TUR,Male,28.94902
46,MDG_0000000001,2016,TUR,Male,11.06521
47,MDG_0000000001,2017,TUR,Male,10.39213
48,MDG_0000000001,2018,TUR,Male,9.74753
49,MDG_0000000001,2019,TUR,Male,9.17463
50,MDG_0000000001,1957,TUR,Both sexes,185.08205
