index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),GROUP (CODE),GROUP (DISPLAY),GROUP (URL),PROGRAMME (CODE),PROGRAMME (DISPLAY),PROGRAMME (URL),RSUDTREATMENTLOCATION (CODE),RSUDTREATMENTLOCATION (DISPLAY),RSUDTREATMENTLOCATION (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,,,,,,,,#indicator+value+num,,,,,
1,RSUD_330,Main sector for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2524,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,,,,REHABILITATION,Rehabilitation,,,,,Private social care sector,,,,,,
2,RSUD_330,Main sector for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2524,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,,,,IN_PATIENT_DETOXIFICATION,In-patient detoxification,,,,,Public health sector,,,,,,
3,RSUD_330,Main sector for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2524,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,,,,IN_PATIENT_TREATMENT,In-patient treatment,,,,,Public health sector,,,,,,
4,RSUD_330,Main sector for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2524,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,,,,OUT_PATIENT_TREATMENT,Out-patient treatment,,,,,Public health sector,,,,,,
5,RSUD_330,Main sector for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2524,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,,,,OPIOID_AGONIST_MAINTENANCE_THERAPY,Opioid agonist maintenance therapy,,,,,Public health sector,,,,,,
6,RSUD_340,Treatment programmes for children and adolescents with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,Yes,,,,,,
7,RSUD_350,Treatment programmes for children and adolescents with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,Yes,,,,,,
8,RSUD_360,Specialized treatment facilities for substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,Yes,,,,,,
9,RSUD_360,Specialized treatment facilities for substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,Yes,,,,,,
