index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),ALCOHOLTYPE (CODE),ALCOHOLTYPE (DISPLAY),ALCOHOLTYPE (URL),NATIONALSYSTEMTYPE (CODE),NATIONALSYSTEMTYPE (DISPLAY),NATIONALSYSTEMTYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
1,TOBACCO_0000000386,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,35,,,,,,
2,TOBACCO_0000000387,Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,30,,,,,,
3,TOBACCO_0000000388,Specific health warnings are mandated for other smoked tobacco packaging,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
4,TOBACCO_0000000389,Number of health warnings approved by the law for other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1269,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,14,,,,,,
5,TOBACCO_0000000390,Health warnings on other smoked tobacco packaging must be rotated,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
6,TOBACCO_0000000391,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,40,,,,,,
7,TOBACCO_0000000392,Health warnings appear on each other smoked tobacco package and any outside packaging and labelling used in the retail sale,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
8,TOBACCO_0000000393,Health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on health,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
9,TOBACCO_0000000394,"Font style, font size and colour of health warnings are mandated for other smoked tobacco packaging",,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
10,TOBACCO_0000000395,Health warnings on other smoked tobacco packaging must be written in the principal language(s) of the country,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
11,TOBACCO_0000000396,Health warnings on other smoked tobacco packaging must include a photograph or graphic,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,No,,,,,,
12,TOBACCO_0000000342,Daily users of any smokeless tobacco product (crude rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/365,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,BTSX,Both sexes,,,,,,,,...,,,,,,
13,TOBACCO_0000000342,Daily users of any smokeless tobacco product (crude rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/365,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,FMLE,Female,,,,,,,,...,,,,,,
14,TOBACCO_0000000342,Daily users of any smokeless tobacco product (crude rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/365,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,MLE,Male,,,,,,,,...,,,,,,
15,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,FMLE,Female,,,,,,,,3.5,,,,,,
16,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,MLE,Male,,,,,,,,9.4,,,,,,
17,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,BTSX,Both sexes,,,,,,,,6.9,,,,,,
18,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,BTSX,Both sexes,,,,,,,,81.6,,,,,,
19,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,FMLE,Female,,,,,,,,82.7,,,,,,
20,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,MLE,Male,,,,,,,,80.6,,,,,,
21,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,BTSX,Both sexes,,,,,,,,85.9,,,,,,
22,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,FMLE,Female,,,,,,,,86.9,,,,,,
23,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,MLE,Male,,,,,,,,85.3,,,,,,
24,TOBACCO_0000000386,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,35,,,,,,
25,TOBACCO_0000000387,Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,30,,,,,,
26,TOBACCO_0000000388,Specific health warnings are mandated for other smoked tobacco packaging,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
27,TOBACCO_0000000389,Number of health warnings approved by the law for other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1269,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,14,,,,,,
28,TOBACCO_0000000390,Health warnings on other smoked tobacco packaging must be rotated,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
29,TOBACCO_0000000391,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,40,,,,,,
30,TOBACCO_0000000392,Health warnings appear on each other smoked tobacco package and any outside packaging and labelling used in the retail sale,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
31,TOBACCO_0000000393,Health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on health,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
32,TOBACCO_0000000394,"Font style, font size and colour of health warnings are mandated for other smoked tobacco packaging",,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
33,TOBACCO_0000000395,Health warnings on other smoked tobacco packaging must be written in the principal language(s) of the country,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
34,TOBACCO_0000000396,Health warnings on other smoked tobacco packaging must include a photograph or graphic,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,No,,,,,,
35,TOBACCO_0000000505,Year of survey of youth,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/366,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,2006,,,,,,
36,TOBACCO_0000000506,Representativeness of youth survey,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,National,,,,,,
37,TOBACCO_0000000507,Repeating interval for survey of youth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/368,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,...,,,,,,
38,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,MLE,Male,,,,,,,,10.2,,,,,,
39,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,MLE,Male,,,,,,,,43.8,,,,,,
40,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,MLE,Male,,,,,,,,80.1,,,,,,
41,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,FMLE,Female,,,,,,,,5.3,,,,,,
42,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,FMLE,Female,,,,,,,,53,,,,,,
43,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,FMLE,Female,,,,,,,,79.6,,,,,,
44,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,BTSX,Both sexes,,,,,,,,8.4,,,,,,
45,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,BTSX,Both sexes,,,,,,,,48.6,,,,,,
46,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,BTSX,Both sexes,,,,,,,,79.9,,,,,,
47,TOBACCO_0000000505,Year of survey of youth,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/366,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,2009,,,,,,
48,TOBACCO_0000000506,Representativeness of youth survey,,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,National,,,,,,
49,TOBACCO_0000000507,Repeating interval for survey of youth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/368,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,4,,,,,,
50,TOBACCO_0000000361,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
51,TOBACCO_0000000361,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,No,,,,,,
52,TOBACCO_0000000362,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,Yes in some,,,,,,
53,TOBACCO_0000000362,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes in some,,,,,,
54,TOBACCO_0000000363,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,Yes in some,,,,,,
55,TOBACCO_0000000363,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,No,,,,,,
56,TOBACCO_0000000364,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,Yes in some,,,,,,
