index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,#indicator+value+num,,,,,
1,MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),,PUBLISHED,Published,,2000.0,2000,,EUR,Europe,,,2000,2000,,,TUR,Turkey,,36 [30-46],36.00000,30.0,46.0,,,
2,MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,81 [68-100],81.00000,68.0,100.0,,,
3,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1990.0,1990,,EUR,Europe,,WB_UMI,1990,1990,Upper-middle-income,,TUR,Turkey,,24468,24468.00000,,,,,
4,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1992.0,1992,,EUR,Europe,,WB_UMI,1992,1992,Upper-middle-income,,TUR,Turkey,,25455,25455.00000,,,,,
5,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,WB_UMI,1995,1995,Upper-middle-income,,TUR,Turkey,,22981,22981.00000,,,,,
6,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1996.0,1996,,EUR,Europe,,WB_UMI,1996,1996,Upper-middle-income,,TUR,Turkey,,20212,20212.00000,,,,,
7,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1998.0,1998,,EUR,Europe,,WB_UMI,1998,1998,Upper-middle-income,,TUR,Turkey,,25501,25501.00000,,,,,
8,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1999.0,1999,,EUR,Europe,,WB_UMI,1999,1999,Upper-middle-income,,TUR,Turkey,,22088,22088.00000,,,,,
9,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,WB_UMI,2001,2001,Upper-middle-income,,TUR,Turkey,,17263,17263.00000,,,,,
10,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,WB_UMI,2002,2002,Upper-middle-income,,TUR,Turkey,,18043,18043.00000,,,,,
11,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2003.0,2003,,EUR,Europe,,WB_UMI,2003,2003,Upper-middle-income,,TUR,Turkey,,17923,17923.00000,,,,,
12,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,WB_UMI,2004,2004,Upper-middle-income,,TUR,Turkey,,17543,17543.00000,,,,,
13,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2005.0,2005,,EUR,Europe,,WB_UMI,2005,2005,Upper-middle-income,,TUR,Turkey,,19744,19744.00000,,,,,
14,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2006.0,2006,,EUR,Europe,,WB_UMI,2006,2006,Upper-middle-income,,TUR,Turkey,,19629,19629.00000,,,,,
15,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2007.0,2007,,EUR,Europe,,WB_UMI,2007,2007,Upper-middle-income,,TUR,Turkey,,18878,18878.00000,,,,,
16,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2009.0,2009,,EUR,Europe,,WB_UMI,2009,2009,Upper-middle-income,,TUR,Turkey,,16757,16757.00000,,,,,
17,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,WB_UMI,2010,2010,Upper-middle-income,,TUR,Turkey,,15879,15879.00000,,,,,
18,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1991.0,1991,,EUR,Europe,,WB_UMI,1991,1991,Upper-middle-income,,TUR,Turkey,,25166,25166.00000,,,,,
19,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1997.0,1997,,EUR,Europe,,WB_UMI,1997,1997,Upper-middle-income,,TUR,Turkey,,25685,25685.00000,,,,,
20,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2000.0,2000,,EUR,Europe,,WB_UMI,2000,2000,Upper-middle-income,,TUR,Turkey,,18038,18038.00000,,,,,
21,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,WB_UMI,2008,2008,Upper-middle-income,,TUR,Turkey,,17600,17600.00000,,,,,
22,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2011.0,2011,,EUR,Europe,,WB_UMI,2011,2011,Upper-middle-income,,TUR,Turkey,,15054,15054.00000,,,,,
23,SA_0000001519,Minimum legal drinking age,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2343,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,18,18.00000,,,,,
24,TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,WB_UMI,1995,1995,Upper-middle-income,,TUR,Turkey,,5041,5041.00000,,,,,
25,TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1996.0,1996,,EUR,Europe,,WB_UMI,1996,1996,Upper-middle-income,,TUR,Turkey,,4946,4946.00000,,,,,
