index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
1,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2010,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,62,62.00000,,,,,
2,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2012,2012,,EUR,Europe,,TUR,2012,2012,Turkey,,82,82.00000,,,,,
3,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2013,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,0,0.00000,,,,,
4,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2014,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,78,78.00000,,,,,
5,UHC_SCI_RMNCH,"UHC SCI components: Reproductive, maternal, newborn and child health",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,EUR,Europe,,TUR,2015,2015,Turkey,,82,0.81576,,,,,
6,UHC_SCI_INFECT,UHC SCI components:  Infectious diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,EUR,Europe,,TUR,2015,2015,Turkey,,61,0.60770,,,,,
7,UHC_SCI_NCD,UHC SCI components: Noncommunicable diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,EUR,Europe,,TUR,2015,2015,Turkey,,60,0.59564,,,,,
8,UHC_SCI_CAPACITY,UHC SCI components: Service capacity and access,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,EUR,Europe,,TUR,2015,2015,Turkey,,88,0.87926,,,,,
9,UHC_SCI_RMNCH,"UHC SCI components: Reproductive, maternal, newborn and child health",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,82,0.81801,,,,,
10,UHC_SCI_INFECT,UHC SCI components:  Infectious diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,69,0.68948,,,,,
11,UHC_SCI_NCD,UHC SCI components: Noncommunicable diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,60,0.60157,,,,,
12,UHC_SCI_CAPACITY,UHC SCI components: Service capacity and access,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,90,0.90301,,,,,
13,UHC_AVAILABILITY_SCORE,Data availability for UHC index of service coverage,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833,PUBLISHED,Published,,2013-2017,2013-2017,,EUR,Europe,,TUR,2013,2017,Turkey,,39,0.38571,,,,,
14,UHC_DATA_AVAIL_CODE,Data availability for UHC index of service coverage (ranking),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4832,PUBLISHED,Published,,2013-2017,2013-2017,,EUR,Europe,,TUR,2013,2017,Turkey,,medium,,,,,,
15,UHC_INDEX_REPORTED,UHC index of service coverage (SCI),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,EUR,Europe,,TUR,2015,2015,Turkey,,71,71.00000,,,,,
16,UHC_INDEX_REPORTED,UHC index of service coverage (SCI),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,74,74.00000,,,,,
