index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
1,WHS2_174,Distribution of years of life lost by broader causes (%) - Injuries,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/90,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_UMI,2008,2008,Upper-middle-income,,TUR,Turkey,,,,,,,,,,,,,,11,,,,,,
2,WHS9_94,Civil registration coverage of causes of deaths (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/84,PUBLISHED,Published,,2007,2007,,EUR,Europe,,WB_UMI,2007,2007,Upper-middle-income,,TUR,Turkey,,,,,,,,,,,,,,50-74,,,,,,
3,WHS6_127,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_UMI,2008,2008,Upper-middle-income,,TUR,Turkey,,,,,,,,,,,,,,144229,,,,,,
4,WHS6_148,Nursing and midwifery personnel density (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_UMI,2008,2008,Upper-middle-income,,TUR,Turkey,,,,,,,,,,,,,,18.9,,,,,,
5,WHS6_123,Number of dentistry personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_UMI,2008,2008,Upper-middle-income,,TUR,Turkey,,,,,,,,,,,,,,17985,,,,,,
6,WHS6_144,Dentistry personnel density (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/87,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_UMI,2008,2008,Upper-middle-income,,TUR,Turkey,,,,,,,,,,,,,,2.36,,,,,,
7,WHS6_517,Number of pharmaceutical personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_UMI,2008,2008,Upper-middle-income,,TUR,Turkey,,,,,,,,,,,,,,24756,,,,,,
8,WHS6_519,Density of pharmaceutical personnel (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/320,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_UMI,2008,2008,Upper-middle-income,,TUR,Turkey,,,,,,,,,,,,,,3.25,,,,,,
9,WHS6_518,Number of environment and public health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/321,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_UMI,2008,2008,Upper-middle-income,,TUR,Turkey,,,,,,,,,,,,,,19304,,,,,,
