il,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Adana,2006650,2026319,2062226,2085225,2108805,2125635,2149260,2165595,2183167,2201670,2216475,2220125,2237940,2258718,2263373,2274106,2270298,2280484
Adıyaman,582762,585067,588475,590935,593931,595261,597184,597835,602774,610484,615076,624513,626465,632459,632148,635169,604978,611037
Afyonkarahisar,701572,697365,701326,697559,698626,703948,707123,706371,709015,714523,715693,725568,729483,736912,744179,747555,751344,750193
Ağrı,530879,532180,537665,542022,555479,552404,551177,549435,547210,542255,536285,539657,536199,535435,524644,510626,511238,499801
Amasya,328674,323675,324268,334786,323079,322283,321977,321913,322167,326351,329888,337508,337800,335494,335331,338267,339529,342378
Ankara,4466756,4548939,4650802,4771716,4890893,4965542,5045083,5150072,5270575,5346518,5445026,5503985,5639076,5663322,5747325,5782285,5803482,5864049
Antalya,1789295,1859275,1919729,1978333,2043482,2092537,2158265,2222562,2288456,2328555,2364396,2426356,2511700,2548308,2619832,2688004,2696249,2722103
Artvin,168092,166584,165580,164759,166394,167082,169334,169674,168370,168068,166143,174010,170875,169501,169543,169403,172356,169280
Aydın,946971,965500,979155,989862,999163,1006541,1020957,1041979,1053506,1068260,1080839,1097746,1110972,1119084,1134031,1148241,1161702,1165943
Balıkesir,1118313,1130276,1140085,1152323,1154314,1160731,1162761,1189057,1186688,1196176,1204824,1226575,1228620,1240285,1250610,1257590,1273519,1276096
Bilecik,203777,193169,202061,225381,203849,204116,208888,209925,212361,218297,221693,223448,219427,218717,228334,228673,228058,228495
Bingöl,251552,256091,255745,255170,262263,262507,265514,266019,267184,269560,273354,281205,279812,281768,283112,282556,285655,283276
Bitlis,327886,326897,328489,328767,336624,337253,337156,338023,340449,341225,341474,349396,348115,350994,352277,353988,359747,359808
Bolu,270417,268882,271545,271208,276506,281080,283496,284789,291095,299896,303184,311810,316126,314802,320014,320824,324789,326409
Burdur,251181,247437,251550,258868,250527,254341,257267,256898,258339,261401,264779,269926,270796,267092,273716,273799,277452,275826
Bursa,2439876,2507963,2550645,2605495,2652126,2688171,2740970,2787539,2842547,2901396,2936803,2994521,3056120,3101833,3147818,3194720,3214571,3238618
Çanakkale,476128,474791,477735,490397,486445,493691,502328,511790,513341,519793,530417,540662,542157,541548,557276,559383,570499,568966
Çankırı,174012,176093,185019,179067,177211,184406,190909,183550,180945,183880,186074,216362,195789,192428,196515,195766,205501,199981
Çorum,549828,545444,540704,535405,534578,529975,532080,527220,525180,527863,528422,536483,530864,530126,526282,524130,528351,521335
Denizli,907325,917836,926362,931823,942278,950557,963464,978700,993442,1005687,1018735,1027782,1037208,1040915,1051056,1056332,1059082,1061371
Diyarbakır,1460714,1492828,1515011,1528958,1570943,1592167,1607437,1635048,1654196,1673119,1699901,1732396,1756353,1783431,1791373,1804880,1818133,1833684
Edirne,396462,394644,395463,390428,399316,399708,398582,400280,402537,401701,406855,411528,413903,407763,412115,414714,419913,421247
Elazığ,541258,547562,550667,552646,558556,562703,568239,568753,574304,578789,583671,595638,591098,587960,588088,591497,604411,603941
Erzincan,213538,210645,213288,224949,215277,217886,219996,223633,222918,226032,231511,236034,234747,234431,237351,239223,243399,241239
Erzurum,784941,774967,774207,769085,780847,778195,766729,763320,762321,762021,760476,767848,762062,758279,756893,749754,749993,745005
Eskişehir,724849,741739,755427,764584,781247,789750,799724,812320,826716,844842,860620,871187,887475,888828,898369,906617,915418,921630
Gaziantep,1560023,1612223,1653670,1700763,1753596,1799558,1844438,1889466,1931836,1974244,2005515,2028563,2069364,2101157,2130432,2154051,2164134,2193363
Giresun,417505,421766,421860,419256,419498,419555,425007,429984,426686,444467,437393,453912,448400,448721,450154,450862,461712,455922
Gümüşhane,130825,131367,130976,129618,132374,135216,141412,146353,151449,172034,170173,162748,164521,141702,150119,144544,148539,142617
Hakkari,246469,258590,256761,251302,272165,279982,273041,276287,278775,267813,275761,286470,280991,280514,278218,275333,287625,282191
Hatay,1386224,1413287,1448418,1480571,1474223,1483674,1503066,1519836,1533507,1555165,1575226,1609856,1628894,1659320,1670712,1686043,1544640,1562185
Isparta,419845,407463,420796,448298,411245,416663,417774,418780,421766,427324,433830,441412,444914,440304,445678,445325,449777,446409
Mersin,1595938,1602908,1640888,1647899,1667939,1682848,1705774,1727255,1745221,1773852,1793931,1814468,1840425,1868757,1891145,1916432,1938389,1954279
İstanbul,12573836,12697164,12915158,13255685,13624240,13854740,14160467,14377018,14657434,14804116,15029231,15067724,15519267,15462452,15840900,15907951,15655924,15701602
İzmir,3739353,3795978,3868308,3948848,3965232,4005459,4061074,4113072,4168415,4223545,4279677,4320519,4367251,4394694,4425789,4462056,4479525,4493242
Kars,312205,312128,306536,301766,305755,304821,300874,296466,292660,289786,287654,288878,285410,284923,281077,274829,278335,272300
Kastamonu,360366,360424,359823,361222,359759,359808,368093,368907,372633,376945,372373,383373,379405,376377,375592,378115,388990,381991
Kayseri,1165088,1184386,1205872,1234651,1255349,1274968,1295355,1322376,1341056,1358980,1376722,1389680,1407409,1421455,1434357,1441523,1445683,1452458
Kırklareli,333256,336942,333179,332791,340199,341218,340559,343723,346973,351684,356050,360860,361836,361737,366363,369347,377156,379031
Kırşehir,223170,222735,223102,221876,221015,221209,223498,222707,225562,229975,234529,241868,242938,243042,242944,244519,247179,244546
Kocaeli,1437926,1490358,1522408,1560138,1601720,1634691,1676202,1722795,1780055,1830772,1883270,1906391,1953035,1997258,2033441,2079072,2102907,2130006
Konya,1959082,1969868,1992675,2013845,2038555,2052281,2079225,2108808,2130544,2161303,2180149,2205609,2232374,2250020,2277017,2296347,2320241,2330024
Kütahya,583910,565884,571804,590496,564264,573421,572059,571554,571463,573642,572256,577941,579257,576688,578640,580701,575674,571078
Malatya,722065,733789,736884,740643,757930,762366,762538,769544,772904,781305,786676,797036,800165,806156,808692,812580,742725,750491
Manisa,1319920,1316750,1331957,1379484,1340074,1346162,1359463,1367905,1380366,1396945,1413041,1429643,1440611,1450616,1456626,1468279,1475716,1475353
Kahramanmaraş,1004414,1029298,1037491,1044816,1054210,1063174,1075706,1089038,1096610,1112634,1127623,1144851,1154102,1168163,1171298,1177436,1116618,1134105
Mardin,745778,750697,737852,744606,764033,773026,779738,788996,796591,796237,809719,829195,838778,854716,862757,870374,888874,895911
