il kodu,il,Vergi-Turu,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,ADANA,GELİRVERGİSİ,39400,38671,38472,40285,40357,40843,40537,40680,40657,41385,42131,43395,44483,44308,44276,44116,45537,46383,48252,51934,55456,59829,63509,67074
2,ADIYAMAN,GELİRVERGİSİ,7037,6557,6643,6759,6691,6598,6175,5970,5796,5792,5829,5935,6068,5937,6010,6317,6635,7057,7352,8244,8975,9715,10107,11143
3,AFYON,GELİRVERGİSİ,13306,12956,12865,13267,13098,12630,12604,12358,12200,11972,11795,12026,12312,12171,12314,12523,12999,13537,13958,14585,15358,16196,17411,18601
4,AĞRI,GELİRVERGİSİ,4038,3821,4040,4203,4420,4556,4444,4168,4044,4029,3985,3990,3971,3961,4081,4169,4378,4583,4841,5076,5271,5484,5709,6090
5,AMASYA,GELİRVERGİSİ,6292,6146,6216,6282,6257,6263,6189,6196,6166,6187,6209,6380,6573,6351,6364,6383,6558,6655,6790,7134,7514,7967,8454,9015
6,ANKARA,GELİRVERGİSİ,109448,108357,108749,111726,111089,115343,116777,114926,115535,118138,119968,125542,129931,130539,133229,130557,134200,136089,138523,147095,160048,169299,179563,188080
7,ANTALYA,GELİRVERGİSİ,57900,57258,57527,60915,63265,64617,66100,67095,67001,68332,69095,71815,73948,76385,79344,78864,80751,83033,86775,93111,100710,109237,117429,123703
8,ARTVİN,GELİRVERGİSİ,4642,4500,4503,4577,4622,4519,4435,4234,4183,4117,4016,4034,4060,3899,3935,3979,4148,4325,4417,4581,4817,5171,5437,5633
9,AYDIN,GELİRVERGİSİ,21908,21971,22070,22511,23169,23694,24092,24052,23730,23342,23186,23837,24260,23488,23974,24301,25253,25883,26513,27912,29712,31621,33436,35612
10,BALIKESİR,GELİRVERGİSİ,38149,37013,36544,34242,31091,29432,28850,27980,27306,27188,27315,27766,27932,27298,27532,27913,28846,29853,30098,31326,32989,34667,36531,39019
11,BİLECİK,GELİRVERGİSİ,4833,4674,4735,4993,5015,4707,4683,4447,4402,4359,4307,4392,4446,4356,4370,4328,4491,4607,4676,4829,4964,5195,5451,5696
12,BİNGÖL,GELİRVERGİSİ,2472,2004,2040,2053,1944,1877,1935,1894,1875,1883,1982,2077,2130,2205,2330,2478,2685,2892,2952,3058,3288,3316,3416,3660
13,BİTLİS,GELİRVERGİSİ,2953,2871,2893,3041,3084,2986,2944,2935,2995,2974,3030,3093,3135,3118,3139,3244,3299,3385,3416,3647,3913,4188,4574,5122
14,BOLU,GELİRVERGİSİ,8504,8262,8409,8152,7645,7335,7286,6993,6745,6618,6552,6673,6814,6692,6768,6728,6955,7123,7219,7328,7551,7943,8354,8813
15,BURDUR,GELİRVERGİSİ,6900,6883,7088,7317,7288,7241,7092,6950,6819,6689,6613,6726,6807,6603,6754,6831,7092,7320,7509,7823,8138,8513,8974,9331
16,BURSA,GELİRVERGİSİ,72165,69954,70006,70768,69155,70648,71740,71499,70250,71031,71298,73983,76044,77254,79237,79719,82760,85169,87498,93266,99377,104982,108118,112833
17,ÇANAKKALE,GELİRVERGİSİ,13712,13402,13274,13527,11944,12027,12147,12129,12217,12302,12330,12916,12924,12641,12883,13209,13815,14383,14776,15613,16634,17836,18987,20460
18,ÇANKIRI,GELİRVERGİSİ,3222,3271,3307,3204,2811,2709,2704,2604,2527,2549,2540,2566,2632,2542,2614,2626,2660,2717,2804,2917,3104,3378,3718,3976
19,ÇORUM,GELİRVERGİSİ,12060,11526,11546,11656,11713,11762,11903,11668,11422,11514,11263,11359,11385,10713,10762,10785,11004,11222,11302,11831,12319,12642,12974,13717
20,DENİZLİ,GELİRVERGİSİ,22063,21350,21684,21853,22022,22264,22540,22077,21861,21830,21987,22599,23632,23206,23328,23265,24063,24606,25183,26702,28415,30200,32369,34904
21,DİYARBAKIR,GELİRVERGİSİ,13917,13454,12845,13273,12206,12480,12851,12784,12952,13301,13424,13746,14107,13976,14159,13708,14133,14949,15589,17013,18416,20536,22382,24188
22,EDİRNE,GELİRVERGİSİ,11222,10095,10028,10213,9187,9362,9437,9308,9271,9270,9442,9650,9709,8814,8810,8930,9291,9568,9830,10216,10669,11241,12427,13281
23,ELAZIĞ,GELİRVERGİSİ,8997,8731,8927,9002,8912,8965,8887,8666,8520,8575,8602,8696,8722,8318,8377,8441,8719,9066,9234,9784,10520,11404,12204,13067
24,ERZİNCAN,GELİRVERGİSİ,3998,3744,3748,3805,3723,3697,3681,3592,3595,3777,3859,3961,4013,3866,3884,3943,4036,4139,4176,4304,4366,4613,4787,5100
25,ERZURUM,GELİRVERGİSİ,10976,10736,11032,11526,10750,10591,10420,10204,10002,9796,9768,9762,9829,9579,9560,9597,9778,10046,10145,10560,11075,11760,12368,13334
26,ESKİŞEHİR,GELİRVERGİSİ,19357,18662,18794,19636,19981,20260,20077,19694,19426,19522,19475,20075,20909,20835,21404,21693,22244,22830,23268,24380,25782,27216,28299,29840
27,GAZİANTEP,GELİRVERGİSİ,23632,24363,25861,29671,32330,34099,34959,36102,36098,36703,37307,37561,39840,40768,41000,40741,41771,41889,43199,46661,48807,51779,53948,57577
28,GİRESUN,GELİRVERGİSİ,8107,7584,7624,7675,6664,6678,6802,6724,6771,6981,6995,7148,7287,6947,6969,7125,7384,7775,7955,8317,8839,9387,10264,11093
29,GÜMÜŞHANE,GELİRVERGİSİ,1979,1964,1969,2005,2047,1953,1909,1829,1828,1817,1778,1862,1916,1907,1871,1877,1914,1956,2003,2061,2116,2227,2387,2477
30,HAKKARİ,GELİRVERGİSİ,1411,1388,1415,1467,1510,1623,1674,1675,1617,1612,1581,1638,1656,1671,1706,1795,1956,2077,2127,2263,2407,2524,2795,2895
31,HATAY,GELİRVERGİSİ,25840,24824,24811,24945,24211,24215,23657,23001,22454,22189,22731,23582,24578,24342,24620,24193,24648,26626,27763,29396,31271,33178,33470,35860
32,ISPARTA,GELİRVERGİSİ,8156,8041,8314,8645,8002,8077,8137,8057,8173,8291,8382,8594,8756,8625,8748,8798,9045,9297,9480,9926,10376,11001,11789,12491
33,İÇEL,GELİRVERGİSİ,36125,36062,35839,37695,38020,37060,37087,37114,36912,36887,37212,37954,38785,38213,38595,38764,40110,41405,42517,45459,47443,50079,52530,55764
34,İSTANBUL,GELİRVERGİSİ,492076,478374,477892,489166,419718,437048,448366,440960,435599,442019,450411,472510,480435,488814,497299,485150,498838,502353,511245,546368,594820,616911,632794,649759
35,İZMİR,GELİRVERGİSİ,117784,116452,115849,120455,119251,120488,120013,119005,117043,117825,118063,122050,123755,123467,125109,125212,129236,131904,134425,141481,150933,159524,167320,175120
36,KARS,GELİRVERGİSİ,3702,3701,3708,3987,3955,3801,3832,3579,3521,3328,3239,3266,3318,3168,3260,3253,3309,3361,3353,3502,3644,3870,4079,4508
37,KASTAMONU,GELİRVERGİSİ,10548,10076,9978,9291,9251,8999,9015,8578,8380,8271,8220,8268,8318,7856,7843,7883,8028,8231,8398,8657,9050,9851,10430,10817
38,KAYSERİ,GELİRVERGİSİ,21828,22156,23121,24036,24933,25112,25915,26120,26426,26818,27018,27831,28462,28960,29946,30705,31961,32636,33761,36332,38945,41651,43108,44805
39,KIRKLARELİ,GELİRVERGİSİ,11160,9587,9698,9770,9410,8932,8790,8636,8554,8523,8547,8735,8826,8397,8439,8436,8539,8824,8837,9276,9729,10158,10715,11343
40,KIRŞEHİR,GELİRVERGİSİ,4400,4496,4520,4362,4352,4298,4221,4058,4012,4007,3934,3981,3954,3466,3530,3763,3989,4103,4198,4392,4549,4817,5078,5405
41,KOCAELİ,GELİRVERGİSİ,35182,35070,35404,36433,38990,39735,40071,40390,40274,40516,40781,42292,43524,44176,44538,44622,46751,47868,48529,51501,55344,58547,60623,63976
42,KONYA,GELİRVERGİSİ,43439,42333,43648,45910,47050,48236,48447,47524,46758,46563,46535,47956,49417,50044,51578,52514,54339,55873,57486,60690,64035,67290,70026,73899
43,KÜTAHYA,GELİRVERGİSİ,12700,11528,11418,11240,10837,10829,10801,10465,10129,10129,10018,10139,10215,9757,9737,9823,10173,10502,10649,11206,11709,12509,13447,14443
44,MALATYA,GELİRVERGİSİ,12362,12180,12043,12577,12302,12083,12034,11829,11664,11753,11639,11684,11824,11575,11363,11434,11944,12286,12362,13247,14082,14925,14764,15870
45,MANİSA,GELİRVERGİSİ,30600,29069,28849,29416,29102,29141,29124,28722,28206,27781,27923,28957,29371,28706,28747,29053,30500,31418,32147,34007,35704,37594,39628,41785
46,KAHRAMANMARAŞ,GELİRVERGİSİ,13715,13738,13936,14503,14268,14448,14335,14300,13977,13769,13747,13970,14437,14392,14780,15397,16144,16942,17459,18574,19907,21462,22612,24773
47,MARDİN,GELİRVERGİSİ,18689,18289,17252,14398,13481,12187,11023,10338,9606,8878,8009,7691,7709,7616,7574,7364,7621,8375,8721,9515,10631,12133,13064,14331
48,MUĞLA,GELİRVERGİSİ,27474,27995,28314,29791,29648,29796,30491,30720,30921,31127,31082,32121,32830,32679,33475,33830,35667,37328,38913,40658,43386,46497,49844,53559
49,MUŞ,GELİRVERGİSİ,2514,2450,2483,2624,2742,2842,2881,2751,2809,2834,2881,3029,3104,3155,3241,3308,3343,3542,3594,3842,4116,4360,4500,4827
50,NEVŞEHİR,GELİRVERGİSİ,6949,7060,7208,7458,7277,7302,7207,6669,6509,6486,6505,6666,6747,6815,6926,7050,7230,7511,7822,8164,8617,9357,10147,10884
51,NİĞDE,GELİRVERGİSİ,5900,5887,6049,6220,6079,5959,5760,5603,5389,5308,5241,5337,5549,5589,5672,5921,6349,6718,7117,7719,8334,8955,9672,10263
52,ORDU,GELİRVERGİSİ,12176,11167,11104,11022,11021,11108,11281,11100,11101,11159,11098,11258,11470,10886,10878,11021,11486,12244,12495,13386,14317,15154,16200,17269
53,RİZE,GELİRVERGİSİ,7693,7559,7493,7427,7218,7196,7132,6925,6777,6751,6775,6874,6929,6756,6808,6940,7050,7148,7334,7501,7802,8148,8647,9186
54,SAKARYA,GELİRVERGİSİ,22407,21608,21599,21701,21184,19575,19442,19095,18800,18671,18572,19312,20065,19877,20239,20074,20765,21407,21796,22825,24439,26544,29037,31283
55,SAMSUN,GELİRVERGİSİ,22894,22810,23941,25318,24663,24574,24650,24054,23777,23979,24160,24660,25316,25062,25422,25796,26638,27480,27743,29277,31246,33365,35063,37495
56,SİİRT,GELİRVERGİSİ,2269,2148,2068,2077,1977,1873,1929,1891,1911,1925,1933,1984,2048,2045,2066,2175,2290,2380,2490,2619,2831,2932,3058,3286
57,SİNOP,GELİRVERGİSİ,4492,4171,4229,4294,4268,3993,3882,3680,3599,3608,3639,3688,3721,3678,3792,3864,4034,4215,4395,4564,4794,5072,5732,6011
58,SİVAS,GELİRVERGİSİ,10826,10724,10867,10715,10434,10338,10372,10131,9971,9713,9554,9688,9806,9590,9684,9833,10136,10457,10600,11038,11614,12224,12882,13578
59,TEKİRDAĞ,GELİRVERGİSİ,20413,19710,19890,20437,19668,19920,20251,20536,20666,20487,20920,22053,22898,22716,23360,23694,24568,25386,25593,27038,28669,30893,32788,35156
60,TOKAT,GELİRVERGİSİ,10252,9738,9796,10237,9759,9533,9463,9191,8944,8819,8915,9000,9120,8598,8538,8671,9036,9287,9529,10123,10646,11320,12048,12819
61,TRABZON,GELİRVERGİSİ,15625,15083,15221,15032,14678,14947,14894,14505,14274,14277,14265,14617,14749,14480,14431,14670,15080,15585,15895,16456,17250,18021,18891,19976
